縣市,戶外探索教育場,手球場(館),木球場,半場籃球場,卡巴迪球場,田徑場,合球場,曲棍球場,羽球場(館),自由車場,沙灘排球場,角力場/場、武術館(教室),足球場,身心障礙(銀髮族)運動休閒會館,其他,武術場,空手道場/館,保齡球館,柔術場,柔道場/館,射箭場,拳擊場/館,桌球場(館),迷你高爾夫球場,馬術場,高爾夫球場,高爾夫球練習場,健力室,健身房(含重量訓練室),排球場(館),棒、壘球打擊練習場,棒球場,游泳池(館),跆拳道場/館,極限運動場,滑冰場(冰宮),滑輪場(直排輪場),躲避球場,靶場/射擊場,槌球場,滾球場,網球場(館),舞蹈教室,劍道場/館,撞球場,樂活運動站,壁球場,橄欖球場(聯合式橄欖球場),擊劍場,環形/直線慢跑道(非田徑場型),舉重室,壘球場,攀岩場,籃球場,體操室/館
宜蘭縣,0,0,0,4,0,44,0,0,34,0,0,2,6,1,6,1,0,0,0,0,0,0,10,0,0,1,0,0,4,16,3,4,8,1,0,0,4,10,0,0,1,8,4,0,1,2,0,1,0,8,0,2,3,113,1
花蓮縣,1,0,0,2,0,80,0,0,35,0,0,0,19,0,9,0,0,0,0,0,1,0,13,1,0,0,0,0,7,25,3,7,16,0,0,0,0,4,2,0,0,19,5,0,1,0,1,0,0,16,0,4,2,92,1
金門縣,0,0,0,0,0,23,0,0,19,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,5,5,0,2,9,1,0,0,0,2,2,0,0,3,5,0,1,0,2,0,0,0,0,1,0,32,1
南投縣,0,0,0,4,0,81,0,1,60,0,1,2,4,0,14,1,0,0,1,0,0,0,16,1,0,0,1,0,4,25,0,3,9,2,0,0,1,11,0,2,0,22,5,0,0,0,0,0,0,27,0,3,0,130,1
屏東縣,0,1,3,7,0,134,0,1,44,0,0,0,24,0,13,1,0,0,0,1,1,1,17,1,0,1,2,0,10,45,4,8,31,0,1,0,3,18,0,7,6,32,7,0,5,1,0,0,0,14,2,5,1,181,3
苗栗縣,0,1,1,10,0,92,0,0,31,0,0,1,5,0,5,0,0,0,0,1,0,0,15,0,0,0,0,0,3,17,7,3,14,0,1,0,3,17,0,6,1,16,3,0,1,0,0,0,0,11,0,2,0,142,1
桃園市,0,3,0,12,0,155,1,1,108,0,0,0,12,2,19,0,1,0,0,2,2,0,29,0,0,4,1,0,15,47,2,11,29,5,1,0,7,57,1,7,0,23,11,0,3,1,0,0,0,20,0,2,2,250,6
高雄市,0,9,2,9,0,219,1,4,150,2,2,1,51,0,25,1,1,0,0,4,1,1,47,1,0,5,2,3,24,82,9,14,72,4,2,0,3,39,2,4,4,57,21,1,12,1,2,0,0,27,3,17,6,368,3
基隆市,0,0,0,11,0,16,0,0,27,0,0,1,1,0,3,0,0,0,0,1,0,0,7,0,0,0,1,0,1,14,0,1,11,0,0,0,0,2,1,0,0,4,0,0,0,1,0,0,0,4,0,0,0,58,0
連江縣,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,14,0
雲林縣,0,2,4,7,0,176,0,0,62,0,0,0,10,1,12,2,0,0,0,1,0,0,15,1,0,0,0,1,3,58,8,11,13,2,0,0,4,18,0,4,0,28,7,0,0,0,1,0,0,11,0,4,0,227,3
新北市,0,10,0,7,0,160,1,1,118,0,0,2,11,0,48,1,0,0,0,2,2,1,37,0,0,0,1,0,27,79,6,3,46,4,1,1,3,57,2,4,0,31,36,0,9,1,7,4,0,28,0,1,9,301,7
新竹市,0,3,0,0,0,34,0,0,35,1,0,1,3,0,7,1,0,0,0,1,1,0,15,0,0,0,0,0,8,15,1,5,14,0,0,0,1,5,1,1,0,19,16,1,0,0,0,0,0,4,0,1,3,51,4
新竹縣,0,1,0,3,0,56,0,0,49,0,2,1,7,0,5,0,0,0,0,0,4,0,17,0,0,6,0,0,9,25,2,2,8,2,0,0,8,17,0,2,0,17,9,0,1,0,0,0,0,17,0,5,0,107,1
嘉義市,0,0,0,1,0,26,0,0,20,0,0,0,9,0,6,0,0,0,0,0,0,0,5,0,0,0,1,0,0,20,2,1,6,0,0,0,0,8,1,0,0,4,1,0,0,1,0,0,0,3,0,1,1,37,0
嘉義縣,0,0,0,4,0,73,0,0,36,0,0,0,19,1,7,0,0,1,0,2,1,0,5,0,0,0,0,0,2,29,3,6,10,0,1,0,1,14,1,0,0,14,4,0,0,0,1,0,0,20,0,0,2,117,0
彰化縣,1,3,2,1,0,184,0,1,88,0,0,1,26,2,14,1,2,0,0,2,0,1,47,0,0,0,1,0,16,57,8,6,16,6,0,0,7,124,1,17,0,43,21,0,0,4,1,0,0,39,0,7,3,310,6
臺中市,0,8,0,12,0,178,0,0,137,1,0,1,17,0,15,0,0,0,0,1,1,0,28,0,0,3,1,0,13,78,9,4,44,3,0,0,11,42,0,5,0,36,20,0,2,3,1,0,0,28,0,9,3,282,3
臺北市,1,2,0,6,0,88,3,0,116,0,0,2,17,0,19,0,0,0,0,5,4,0,40,0,0,0,10,1,36,79,2,3,105,1,1,0,2,13,3,0,2,40,41,1,9,0,8,1,2,21,0,4,11,242,5
臺東縣,0,0,0,1,0,65,0,0,28,0,0,0,10,0,7,0,0,0,0,3,1,0,5,0,0,0,0,0,3,14,12,12,12,2,0,0,2,2,1,2,0,9,3,0,1,0,0,0,1,4,1,3,0,81,3
臺南市,0,1,0,9,1,171,0,0,130,1,0,0,43,0,18,1,0,0,1,2,1,0,31,1,1,5,0,0,14,88,7,4,42,2,1,0,6,26,1,2,0,35,13,0,2,1,0,4,0,23,0,9,1,213,6
澎湖縣,0,0,0,1,0,33,0,0,8,0,0,0,4,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,1,4,1,3,3,0,0,0,0,3,0,0,1,0,0,0,0,2,0,0,0,3,1,0,0,44,1
