縣市,行政區,戶外探索教育場,手球場(館),木球場,半場籃球場,卡巴迪球場,田徑場,合球場,曲棍球場,羽球場(館),自由車場,沙灘排球場,角力場/場、武術館(教室),足球場,身心障礙(銀髮族)運動休閒會館,其他,武術場,空手道場/館,保齡球館,柔術場,柔道場/館,射箭場,拳擊場/館,桌球場(館),迷你高爾夫球場,馬術場,高爾夫球場,高爾夫球練習場,健力室,健身房(含重量訓練室),排球場(館),棒、壘球打擊練習場,棒球場,游泳池(館),跆拳道場/館,極限運動場,滑冰場(冰宮),滑輪場(直排輪場),躲避球場,靶場/射擊場,槌球場,滾球場,網球場(館),舞蹈教室,劍道場/館,撞球場,樂活運動站,壁球場,橄欖球場(聯合式橄欖球場),擊劍場,環形/直線慢跑道(非田徑場型),舉重室,壘球場,攀岩場,籃球場,體操室/館,總計
宜蘭縣,三星鄉,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,14
宜蘭縣,大同鄉,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7
宜蘭縣,五結鄉,0,0,0,0,0,4,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,20
宜蘭縣,冬山鄉,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,22
宜蘭縣,壯圍鄉,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,16
宜蘭縣,宜蘭市,0,0,0,1,0,7,0,0,8,0,0,0,1,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,2,5,0,0,1,0,0,0,0,4,0,0,0,3,2,0,0,2,0,0,0,1,0,0,1,23,0,67
宜蘭縣,南澳鄉,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,3,0,14
宜蘭縣,員山鄉,0,0,0,0,0,2,0,0,4,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,18
宜蘭縣,頭城鎮,0,0,0,1,0,5,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,1,1,0,0,2,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,12,0,39
宜蘭縣,礁溪鄉,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,18
